RAJ2000;DEJ2000;logT;logL;AV;logAc;M.S0;logA0;M.P9;logA9;Mm
"h:m:s";"d:m:s";[K];[Lsun];mag;[-];Msun;[yr];Msun;[yr];%
-----------;------------;------;------;------;-----;------;------;------;------;--
05 35 28.35;-05 18 23.15; 3.515;-0.545; 0.378;-2.76; 0.265; 6.261; 0.190; 5.826;99
05 35 25.42;-05 21 51.58; 3.585;-0.289; 2.050;-1.20; 0.570; 6.374; 0.595; 6.377;
05 35 11.12;-05 34 59.68; 3.505;-0.337; 1.421;-1.79; 0.250; 5.722; 0.157; 5.470;99
05 35 29.84;-05 23 55.48; 3.560;-0.240; 2.519;-0.69; 0.425; 6.123; 0.410; 5.982;99
05 34 13.20;-05 33 53.53; 3.543;-0.654; 0.000;-1.51; 0.345; 6.453; 0.320; 6.266;
05 35 05.85;-05 27 01.57; 3.524;-0.398; 1.213;-5.00; 0.295; 6.150; 0.230; 5.794;99
05 35 05.72;-05 23 54.05; 3.510;-0.260; 1.979;-1.12; 0.262; 5.744; 0.170; 5.472;99
05 35 01.04;-05 24 10.20; 3.542;-0.381; 1.395;-5.00; 0.355; 6.180; 0.320; 5.950;99
05 34 13.00;-05 42 13.25; 3.551;-0.657; 0.000;-5.00; 0.377; 6.528; 0.365; 6.390;
05 35 08.53;-05 25 17.94; 3.551;-0.426; 1.214;-5.00; 0.385; 6.264; 0.365; 6.188;99
05 34 27.54;-05 28 28.41; 3.511;-0.505; 0.604;-2.84; 0.255; 6.225; 0.177; 5.713;
05 35 44.85;-05 24 34.47; 3.515;-0.344; 1.549;-1.61; 0.273; 5.926; 0.188; 5.620;99
05 34 52.03;-05 24 43.02; 3.524;-0.656; 0.000;-1.37; 0.285; 6.366; 0.230; 6.074;99
05 35 12.73;-05 16 52.77; 3.609; 0.377; 5.830;-0.74; 0.735; 5.792; 0.790; 5.635;99
05 35 19.49;-05 36 51.83; 3.526;-0.565; 0.450;-2.50; 0.295; 6.285; 0.240; 5.998;
05 34 43.41;-05 30 06.97; 3.585;-0.439; 1.321;-1.56; 0.577; 6.587; 0.600; 6.593;99
05 34 49.57;-05 29 03.38; 3.560;-0.296; 2.769;-0.41; 0.423; 6.170; 0.410; 6.175;99
05 35 30.49;-05 28 30.55; 3.551;-0.359; 2.307;-0.46; 0.385; 6.191; 0.365; 6.140;99
05 35 05.70;-05 25 04.13; 3.551; 0.102; 4.722;-0.46; 0.382; 5.823; 0.365; 5.158;99
05 35 18.84;-05 14 45.62; 3.543;-0.339; 1.785;-1.37; 0.355; 6.140; 0.320; 5.920;
05 35 20.94;-05 40 14.37; 3.507;-0.222; 2.226;-1.27; 0.255; 5.613; 0.160; 5.347;
05 35 20.61;-05 24 46.48; 3.551;-0.221; 2.378;-5.00; 0.387; 6.072; 0.365; 5.890;99
05 34 32.66;-05 21 07.41; 3.560;-0.541; 0.733;-2.76; 0.420; 6.457; 0.410; 6.351;99
05 35 07.68;-05 36 58.76; 3.505;-0.026; 3.187;-1.68; 0.250; 4.942; 0.162; 5.000;98
05 35 21.26;-05 42 12.38; 3.543;-0.362; 2.182;-0.52; 0.355; 6.160; 0.320; 5.936;
05 35 09.59;-05 28 22.82; 3.569;-0.226; 2.946;-0.53; 0.465; 6.149; 0.465; 6.113;99
05 34 56.51;-05 27 51.02; 3.551;-0.549; 0.685;-5.00; 0.380; 6.392; 0.365; 6.267;99
